name1,name2,value
店长,大专,6883.823529411765
店长,学历不限,6511.923076923077
店长,本科,7429.078014184397
店长,高中,7780.18018018018
店长,中专/中技,5980.327868852459
店长,初中及以下,6625.0
店长,硕士,0.0
店长,MBA/EMBA,0.0
店长,博士,0.0
店长,中技,0.0
导购员,大专,5472.972972972973
导购员,学历不限,5409.240924092409
导购员,本科,5666.666666666667
导购员,高中,5409.313725490196
导购员,中专/中技,5384.920634920635
导购员,初中及以下,5000.0
导购员,硕士,0.0
导购员,MBA/EMBA,0.0
导购员,博士,0.0
导购员,中技,0.0
客服,大专,6638.814531548757
客服,学历不限,6207.792207792208
客服,本科,7532.075471698113
客服,高中,5867.64705882353
客服,中专/中技,6007.317073170731
客服,初中及以下,5100.0
客服,硕士,0.0
客服,MBA/EMBA,0.0
客服,博士,0.0
客服,中技,0.0
理货员,大专,5333.333333333333
理货员,学历不限,6259.312320916905
理货员,本科,0.0
理货员,高中,5547.826086956522
理货员,中专/中技,5407.407407407408
理货员,初中及以下,6830.7692307692305
理货员,硕士,0.0
理货员,MBA/EMBA,0.0
理货员,博士,0.0
理货员,中技,0.0
物流运营,大专,6531.818181818182
物流运营,学历不限,4000.0
物流运营,本科,8771.42857142857
物流运营,高中,7000.0
物流运营,中专/中技,0.0
物流运营,初中及以下,0.0
物流运营,硕士,0.0
物流运营,MBA/EMBA,0.0
物流运营,博士,0.0
物流运营,中技,0.0
物流跟单,大专,5521.951219512195
物流跟单,学历不限,5285.714285714285
物流跟单,本科,6375.0
物流跟单,高中,4200.0
物流跟单,中专/中技,6250.0
物流跟单,初中及以下,0.0
物流跟单,硕士,0.0
物流跟单,MBA/EMBA,0.0
物流跟单,博士,0.0
物流跟单,中技,0.0
报检报关,大专,6026.666666666667
报检报关,学历不限,6750.0
报检报关,本科,4836.363636363636
报检报关,高中,3000.0
报检报关,中专/中技,5333.333333333333
报检报关,初中及以下,0.0
报检报关,硕士,0.0
报检报关,MBA/EMBA,0.0
报检报关,博士,0.0
报检报关,中技,0.0
仓储管理,大专,6395.689655172414
仓储管理,学历不限,6130.343511450382
仓储管理,本科,9142.857142857143
仓储管理,高中,6361.111111111111
仓储管理,中专/中技,5556.701030927835
仓储管理,初中及以下,6444.444444444444
仓储管理,硕士,8000.0
仓储管理,MBA/EMBA,0.0
仓储管理,博士,0.0
仓储管理,中技,0.0
英语老师,大专,6079.646017699115
英语老师,学历不限,7235.294117647059
英语老师,本科,7807.962529274005
英语老师,高中,0.0
英语老师,中专/中技,0.0
英语老师,初中及以下,0.0
英语老师,硕士,5927.272727272727
英语老师,MBA/EMBA,0.0
英语老师,博士,0.0
英语老师,中技,0.0
课程顾问,大专,8090.153452685422
课程顾问,学历不限,7165.95744680851
课程顾问,本科,7207.547169811321
课程顾问,高中,7473.170731707317
课程顾问,中专/中技,9111.111111111111
课程顾问,初中及以下,0.0
课程顾问,硕士,0.0
课程顾问,MBA/EMBA,0.0
课程顾问,博士,0.0
课程顾问,中技,20000.0
教务,大专,6923.404255319149
教务,学历不限,5964.473684210527
教务,本科,7365.699208443271
教务,高中,3090.0
教务,中专/中技,5769.2307692307695
教务,初中及以下,4000.0
教务,硕士,5265.0
教务,MBA/EMBA,0.0
教务,博士,0.0
教务,中技,0.0
助教,大专,6618.954248366013
助教,学历不限,4944.444444444444
助教,本科,6450.887573964497
助教,高中,5000.0
助教,中专/中技,4333.333333333333
助教,初中及以下,0.0
助教,硕士,8827.586206896553
助教,MBA/EMBA,0.0
助教,博士,0.0
助教,中技,0.0
编导,大专,7233.582089552238
编导,学历不限,7441.176470588235
编导,本科,6838.888888888889
编导,高中,0.0
编导,中专/中技,0.0
编导,初中及以下,0.0
编导,硕士,0.0
编导,MBA/EMBA,0.0
编导,博士,0.0
编导,中技,0.0
编剧,大专,7000.0
编剧,学历不限,5550.0
编剧,本科,10556.0
编剧,高中,0.0
编剧,中专/中技,0.0
编剧,初中及以下,0.0
编剧,硕士,6033.333333333333
编剧,MBA/EMBA,0.0
编剧,博士,0.0
编剧,中技,0.0
后期制作,大专,6765.296803652968
后期制作,学历不限,6587.5
后期制作,本科,6759.40594059406
后期制作,高中,0.0
后期制作,中专/中技,6375.0
后期制作,初中及以下,0.0
后期制作,硕士,0.0
后期制作,MBA/EMBA,0.0
后期制作,博士,0.0
后期制作,中技,0.0
化妆师,大专,7600.0
化妆师,学历不限,5744.68085106383
化妆师,本科,8000.0
化妆师,高中,6000.0
化妆师,中专/中技,6000.0
化妆师,初中及以下,0.0
化妆师,硕士,7000.0
化妆师,MBA/EMBA,0.0
化妆师,博士,0.0
化妆师,中技,0.0
广告创意,大专,6471.428571428572
广告创意,学历不限,8000.0
广告创意,本科,7881.081081081081
广告创意,高中,0.0
广告创意,中专/中技,9000.0
广告创意,初中及以下,0.0
广告创意,硕士,0.0
广告创意,MBA/EMBA,0.0
广告创意,博士,0.0
广告创意,中技,0.0
美术指导,大专,5414.285714285715
美术指导,学历不限,5480.0
美术指导,本科,6437.777777777777
美术指导,高中,0.0
美术指导,中专/中技,6000.0
美术指导,初中及以下,0.0
美术指导,硕士,0.0
美术指导,MBA/EMBA,0.0
美术指导,博士,0.0
美术指导,中技,0.0
文案,大专,6689.87012987013
文案,学历不限,6276.315789473684
文案,本科,6932.558139534884
文案,高中,7500.0
文案,中专/中技,6200.0
文案,初中及以下,0.0
文案,硕士,3200.0
文案,MBA/EMBA,0.0
文案,博士,0.0
文案,中技,0.0
媒介,大专,6400.0
媒介,学历不限,6275.0
媒介,本科,7369.182389937107
媒介,高中,0.0
媒介,中专/中技,8000.0
媒介,初中及以下,0.0
媒介,硕士,0.0
媒介,MBA/EMBA,0.0
媒介,博士,0.0
媒介,中技,0.0
网页设计,大专,6262.14953271028
网页设计,学历不限,6274.193548387097
网页设计,本科,6104.424778761062
网页设计,高中,5666.666666666667
网页设计,中专/中技,6222.222222222223
网页设计,初中及以下,0.0
网页设计,硕士,0.0
网页设计,MBA/EMBA,0.0
网页设计,博士,0.0
网页设计,中技,0.0
插画师,大专,7090.909090909091
插画师,学历不限,5071.428571428572
插画师,本科,8700.0
插画师,高中,0.0
插画师,中专/中技,0.0
插画师,初中及以下,0.0
插画师,硕士,0.0
插画师,MBA/EMBA,0.0
插画师,博士,0.0
插画师,中技,0.0
工业设计,大专,6263.380281690141
工业设计,学历不限,6909.090909090909
工业设计,本科,7680.459770114942
工业设计,高中,0.0
工业设计,中专/中技,6500.0
工业设计,初中及以下,0.0
工业设计,硕士,7625.0
工业设计,MBA/EMBA,0.0
工业设计,博士,0.0
工业设计,中技,0.0
视觉设计,大专,6950.50505050505
视觉设计,学历不限,6133.333333333333
视觉设计,本科,7761.658031088083
视觉设计,高中,500.0
视觉设计,中专/中技,7000.0
视觉设计,初中及以下,0.0
视觉设计,硕士,8000.0
视觉设计,MBA/EMBA,0.0
视觉设计,博士,0.0
视觉设计,中技,0.0
教师,大专,6890.909090909091
教师,学历不限,3580.0
教师,本科,7419.078947368421
教师,高中,0.0
教师,中专/中技,1000.0
教师,初中及以下,0.0
教师,硕士,5238.461538461538
教师,MBA/EMBA,0.0
教师,博士,0.0
教师,中技,0.0
英语,大专,6065.95744680851
英语,学历不限,6906.976744186047
英语,本科,7588.805970149254
英语,高中,7000.0
英语,中专/中技,7000.0
英语,初中及以下,0.0
英语,硕士,6318.181818181818
英语,MBA/EMBA,0.0
英语,博士,0.0
英语,中技,0.0
美术老师,大专,6029.91452991453
美术老师,学历不限,8673.076923076924
美术老师,本科,6969.827586206897
美术老师,高中,0.0
美术老师,中专/中技,5000.0
美术老师,初中及以下,0.0
美术老师,硕士,0.0
美术老师,MBA/EMBA,0.0
美术老师,博士,0.0
美术老师,中技,0.0
幼教,大专,5867.51269035533
幼教,学历不限,4719.512195121952
幼教,本科,4836.607142857143
幼教,高中,6250.0
幼教,中专/中技,4321.428571428572
幼教,初中及以下,0.0
幼教,硕士,4250.0
幼教,MBA/EMBA,0.0
幼教,博士,0.0
幼教,中技,0.0
小学教师,大专,7937.5
小学教师,学历不限,8500.0
小学教师,本科,8215.315315315316
小学教师,高中,0.0
小学教师,中专/中技,0.0
小学教师,初中及以下,0.0
小学教师,硕士,0.0
小学教师,MBA/EMBA,0.0
小学教师,博士,0.0
小学教师,中技,0.0
班主任,大专,7295.365853658536
班主任,学历不限,6506.25
班主任,本科,7376.056338028169
班主任,高中,6000.0
班主任,中专/中技,7200.0
班主任,初中及以下,0.0
班主任,硕士,5000.0
班主任,MBA/EMBA,0.0
班主任,博士,0.0
班主任,中技,0.0
摄影师,大专,6594.642857142857
摄影师,学历不限,6122.5
摄影师,本科,7806.451612903225
摄影师,高中,7400.0
摄影师,中专/中技,5083.333333333333
摄影师,初中及以下,3000.0
摄影师,硕士,0.0
摄影师,MBA/EMBA,0.0
摄影师,博士,0.0
摄影师,中技,0.0
摄影,大专,6431.428571428572
摄影,学历不限,5672.5
摄影,本科,7208.333333333333
摄影,高中,6000.0
摄影,中专/中技,5454.545454545455
