name1,name2,value
1-3年,上海,6900.363997352746
1-3年,青浦区,6812.806539509536
1-3年,杨浦区,6779.131886477462
1-3年,徐汇区,7035.436537050624
1-3年,浦东新区,6718.601747815231
1-3年,长宁区,6875.806451612903
1-3年,黄浦区,6898.7608426270135
1-3年,普陀区,6535.077793493635
1-3年,闵行区,6954.658385093167
1-3年,松江区,6595.652173913043
1-3年,虹口区,7347.195357833656
1-3年,宝山区,6647.578947368421
1-3年,嘉定区,7081.281618887016
1-3年,静安区,6873.067331670823
1-3年,崇明区,5812.5
1-3年,金山区,6228.048780487805
1-3年,奉贤区,6549.6688741721855
1年以下,上海,6596.810933940775
1年以下,青浦区,6509.259259259259
1年以下,杨浦区,7073.170731707317
1年以下,徐汇区,6497.278911564626
1年以下,浦东新区,6429.84496124031
1年以下,长宁区,6321.83908045977
1年以下,黄浦区,6167.961165048544
1年以下,普陀区,6199.009900990099
1年以下,闵行区,5989.36170212766
1年以下,松江区,5745.454545454545
1年以下,虹口区,5638.461538461538
1年以下,宝山区,6096.774193548387
1年以下,嘉定区,7054.7945205479455
1年以下,静安区,5994.949494949495
1年以下,崇明区,6000.0
1年以下,金山区,6368.421052631579
1年以下,奉贤区,7166.666666666667
不限,上海,6816.485148514851
不限,青浦区,6090.809628008753
不限,杨浦区,6436.615384615385
不限,徐汇区,6962.995116657624
不限,浦东新区,6620.041657023837
不限,长宁区,6322.346368715083
不限,黄浦区,6581.176470588235
不限,普陀区,6531.93449334698
不限,闵行区,6496.968215158924
不限,松江区,6804.822695035461
不限,虹口区,6608.684546615581
不限,宝山区,6707.9584775086505
不限,嘉定区,6642.807825086306
不限,静安区,6458.516707416463
不限,崇明区,6053.571428571428
不限,金山区,7117.96875
不限,奉贤区,6991.566265060241
3-5年,上海,7537.9434756464225
3-5年,青浦区,6652.631578947368
3-5年,杨浦区,6804.074074074074
3-5年,徐汇区,7063.730569948187
3-5年,浦东新区,7300.7213706041475
3-5年,长宁区,6811.547911547911
3-5年,黄浦区,7225.0554323725055
3-5年,普陀区,6164.1509433962265
3-5年,闵行区,6900.119047619048
3-5年,松江区,7041.49377593361
3-5年,虹口区,7120.111731843575
3-5年,宝山区,6849.079754601227
3-5年,嘉定区,7131.338028169014
3-5年,静安区,7115.818181818182
3-5年,崇明区,3550.0
3-5年,金山区,6989.090909090909
3-5年,奉贤区,7340.0
5-10年,上海,9503.601833660772
5-10年,青浦区,9671.052631578947
5-10年,杨浦区,9355.76923076923
5-10年,徐汇区,8542.201834862386
5-10年,浦东新区,9396.20253164557
5-10年,长宁区,7439.572192513369
5-10年,黄浦区,10754.347826086956
5-10年,普陀区,7306.081081081081
5-10年,闵行区,7285.175202156334
5-10年,松江区,8236.082474226803
5-10年,虹口区,10494.915254237289
5-10年,宝山区,9034.615384615385
5-10年,嘉定区,9551.851851851852
5-10年,静安区,10810.108303249097
5-10年,崇明区,10000.0
5-10年,金山区,7558.333333333333
5-10年,奉贤区,8520.0
无经验,上海,6131.005586592179
无经验,青浦区,5987.5
无经验,杨浦区,7033.333333333333
无经验,徐汇区,7034.408602150537
无经验,浦东新区,6617.543859649123
无经验,长宁区,5874.137931034483
无经验,黄浦区,6576.388888888889
无经验,普陀区,6435.185185185185
无经验,闵行区,6969.444444444444
无经验,松江区,6062.5
无经验,虹口区,6425.0
无经验,宝山区,6851.351351351352
无经验,嘉定区,6983.333333333333
无经验,静安区,7186.301369863014
无经验,崇明区,0.0
无经验,金山区,8000.0
无经验,奉贤区,7571.428571428572
10年以上,上海,15375.882352941177
10年以上,青浦区,8142.857142857143
10年以上,杨浦区,11661.538461538461
10年以上,徐汇区,17097.4358974359
10年以上,浦东新区,10945.121951219513
10年以上,长宁区,14107.407407407407
10年以上,黄浦区,20473.529411764706
10年以上,普陀区,9600.0
10年以上,闵行区,12108.0
10年以上,松江区,12712.5
10年以上,虹口区,9235.714285714286
10年以上,宝山区,11590.90909090909
10年以上,嘉定区,8330.0
10年以上,静安区,13071.052631578947
10年以上,崇明区,0.0
10年以上,金山区,0.0
10年以上,奉贤区,5333.333333333333
