name,value
龟头,626
鼻炎,626
鼻咽,626
黑色素瘤,626
黄斑,552
麻痹,552
麻木,418
高血糖素,302
高血压病,266
高血压,216
骨髓瘤,135
骨髓,106
骨质增生,89
骨痹病,77
骨性,71
食管炎,64
食管,62
风湿性关节炎,60
风湿性,59
颌下,56
颈椎病,44
颈椎,41
颈内,41
颅骨,41
颅内,35
靶向,35
静脉炎,33
静脉曲张,33
青光眼,32
障碍,32
随后,32
阻塞性,32
阻塞,25
阵发性,23
阑尾炎,22
间质,21
闭角型,20
门诊,20
银屑病,18
重症,18
重度,18
透析,18
退行性,17
运动障碍,16
过敏性,16
输尿管,15
轻度,15
超声,14
贫血,14
诊断,14
视网膜,13
衰竭,13
血肿,13
血糖,12
血管炎,12
血管,12
血症,12
血友病,12
蛔虫病,11
良性,11
膝痹,11
膝关节,10
膀胱,10
腺瘤,10
腹股沟,10
腹痛,10
腰痛,9
腰椎间盘,9
腰椎,9
脱离,9
脚趾,9
脓毒症,8
脑部,8
脑血管病,8
脑血栓,8
脑膜瘤,8
脑缺血,8
脑病,7
脑梗死,7
脑干,7
脑室,7
脑出血,7
脆性,7
胸腔,7
胸椎,7
胰腺,7
胰岛素,7
胬肉,7
胆管炎,7
胆管,6
胆总管,6
胆囊结石,6
胆囊炎,6
胃肠功能,6
胃炎,6
胃溃疡,6
肿胀,6
肿瘤,6
肿物,6
肿大,6
