name,value
店长,1136
导购员,1020
客服,1020
理货员,1019
物流运营,52
物流跟单,73
报检报关,74
仓储管理,1020
英语老师,570
课程顾问,1020
教务,1020
助教,378
编导,241
编剧,51
后期制作,385
化妆师,70
广告创意,150
美术指导,113
文案,869
媒介,270
网页设计,374
插画师,28
工业设计,177
视觉设计,450
教师,1020
英语,990
美术老师,261
幼教,374
小学教师,129
班主任,600
摄影师,201
摄影,150
制片,43
记者,55
剪辑,450
策划经理,480
广告制作,558
广告审核,53
平面设计,990
美容师,299
医美,240
导游,23
旅游计调,10
旅游销售,215
收银员,750
收银,900
月嫂,8
保姆,7
家政,30
婚礼策划,2
育婴师,11
催乳师,2
美容导师,29
纹绣师,4
美甲师,83
健身教练,55
旅游顾问,35
签证,14
票务,25
服务业,1020
酒店前台,35
酒店管理,179
餐饮管理,750
保安,471
保洁,360
司机,1020
市场策划,510
市场顾问,529
市场推广,1020
sem,398
网络营销,1466
活动策划,1020
销售经理,1020
销售代表,1020
大客户销售,1020
电话销售,1020
商品经理,360
广告销售,270
销售总监,780
市场营销,1020
市场总监,324
seo,410
品牌经理,740
商务渠道,1019
app推广,551
销售专员,1020
客户代表,598
bd经理,1020
渠道销售,600
销售助理,1020
销售顾问,1019
营销主管,600
商务总监,296
城市经理,600
招聘,1020
人力资源专员,1020
绩效考核,59
人力资源经理,660
员工关系,720
出纳,1020
税务,240
财务经理,479
财务分析,180
法务专员,406
法律顾问,61
法务主管,382
前台,1019
经理助理,1020
行政经理,480
行政总监,163
人力资源主管,300
hrbp,569
培训,510
薪资福利,600
人力资源总监,480
组织发展,122
会计,1020
财务顾问,90
结算,300
风控,473
财务主管,390
律师,430
物仓调度,1
